image,pidinet_forward_ms,pidinet_contours,pidinet_largest_area,pidinet_box,fastsam_total_ms,fastsam_inference_ms,fastsam_contours,fastsam_largest_area,fastsam_box
1.png,7.649,1,4543.5,"(8, 25, 226, 91)",36.573,23.578,1,33638.0,"(0, 0, 243, 140)"
2.png,9.450,2,20835.0,"(8, 11, 240, 153)",39.338,22.893,1,40451.5,"(0, 0, 256, 174)"
3.png,6.544,7,2756.0,"(31, 28, 203, 39)",35.515,20.929,1,32208.0,"(0, 0, 242, 146)"
4.png,5.334,4,3287.5,"(26, 46, 204, 39)",35.909,20.356,1,31397.5,"(0, 0, 238, 138)"
5.png,7.108,3,3262.5,"(21, 47, 226, 90)",34.459,20.308,1,37012.5,"(0, 0, 256, 147)"
6.png,8.009,12,5567.5,"(10, 29, 229, 107)",38.447,21.177,1,35670.0,"(0, 0, 247, 146)"
7.png,7.389,4,7302.5,"(8, 28, 229, 110)",39.004,20.927,1,33365.5,"(0, 0, 245, 148)"
8.png,6.785,8,2569.0,"(25, 74, 201, 20)",36.083,21.708,1,34717.0,"(0, 0, 234, 150)"
9.png,6.699,10,2872.0,"(22, 76, 204, 23)",33.800,20.938,1,32308.0,"(0, 0, 234, 145)"
10.png,6.517,7,3117.5,"(23, 59, 203, 30)",35.196,21.695,1,33144.0,"(0, 0, 234, 148)"
